object_index,label,target_x,target_y,target_z,eef_x,eef_y,eef_z,success,elapsed_s
0,red,0.39138556627909893,0.13639952141694556,0.14999604225158691,0.10640804469585419,-0.4497644305229187,0.244832843542099,True,3.341
1,green,0.3156080543807958,-0.16923644323954357,0.14999604225158691,0.10564368963241577,-0.37981081008911133,0.2427929937839508,True,3.263
2,blue,0.3383413079502867,-0.050518341265535394,0.14999604225158691,0.10356859862804413,-0.3123875558376312,0.2436339557170868,True,3.337
3,yellow,0.5025259170632768,-0.2829027110869982,0.14999604225158691,0.10185839235782623,-0.2446439564228058,0.24442481994628906,True,3.411
4,orange,0.5185231448858264,0.005292327110236125,0.10001051425933838,0.10267870873212814,-0.18259990215301514,0.25593361258506775,True,3.279
